C1_exchange,C2_exchange,C3ald_exchange,C3ket_exchange,C4ald_exchange,C4fur_exchange,C4ket_exchange,Form2,Form3,Form4,Isom3,Isom4,Ring4,Split4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,-100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,-100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
136.0,-56.0,-8.0,0.0,0.0,0.0,0.0,64.0,8.0,0.0,0.0,0.0,0.0,0.0
84.0,-24.0,-12.000000000000002,0.0,0.0,0.0,0.0,36.0,12.000000000000002,0.0,0.0,0.0,0.0,0.0
55.308800000000005,-9.651200000000001,-11.506400000000001,-0.0008,-0.37120000000000003,0.0,0.0,21.529600000000002,11.878400000000001,0.37120000000000003,0.0008,0.0,0.0,0.0
40.28,-3.8000000000000007,-9.878,-0.002,-0.76,0.0,0.0,14.440000000000001,10.64,0.76,0.002,0.0,0.0,0.0
31.5125797248,-1.1377922048000002,-8.378583848576,-0.00315064,-1.0228737223679998,-3.7120000000000004e-05,-3.7120000000000004e-05,10.542437535744,9.404719570944,1.0229850823679998,0.00315064,3.7120000000000004e-05,3.7120000000000004e-05,3.7120000000000004e-05
25.70104561696001,0.2568814848000009,-7.164923666816002,-0.00413844,-1.1766793265280002,-0.00011312,-0.00011312,8.088973068544002,8.346080793344003,1.1770186865280001,0.00413844,0.00011312,0.00011312,0.00011312
21.500156390713713,1.0539129392311037,-6.186639673692508,-0.0049762983848576,-1.2578527734914826,-0.00021540737223679996,-0.00021540737223679996,6.395771213709981,7.4501149676855585,1.2584989956081933,0.0049762983848576,0.00021540737223679996,0.00021540737223679996,0.00021540737223679996
18.304290007866335,1.5246142262940245,-5.388073127424352,-0.0056927907515392,-1.2923890258718969,-0.0003330753048896,-0.0003330753048896,5.161873793058654,6.687154169962458,1.2933882517865656,0.0056927907515392,0.0003330753048896,0.0003330753048896,0.0003330753048896
15.79319232934271,1.8005963024086695,-4.728095415854941,-0.00631145471890845,-1.2968733594451483,-0.0004588605822387482,-0.0004588605822387482,4.2311427881925665,6.032656811765714,1.2982499411918642,0.00631145471890845,0.0004588605822387482,0.0004588605822387482,0.0004588605822387482
13.774190605621621,1.9544670194601257,-4.17671937678283,-0.006850262031650885,-1.2819277330549554,-0.0005880994848259379,-0.0005880994848259379,3.5116184518941367,5.467261670323914,1.2836920315094333,0.006850262031650885,0.0005880994848259379,0.0005880994848259379,0.0005880994848259379
12.121537618564155,2.029502028755427,-3.71162971917214,-0.00732307157323638,-1.254485252318179,-0.0007177868207704527,-0.0007177868207704527,2.944653801128899,4.975591403525867,1.2566386127804903,0.00732307157323638,0.0007177868207704527,0.0007177868207704527,0.0007177868207704527
10.748839902248596,2.0527695628943285,-3.3159287533237274,-0.007740743510914663,-1.2191506751951804,-0.0008459795940759483,-0.0008459795940759483,2.4908965887295693,4.5453581108120495,1.221688613977408,0.007740743510914663,0.0008459795940759483,0.0008459795940759483,0.0008459795940759483
9.594571058310787,2.0417744520234695,-2.976638109039154,-0.008111906482831876,-1.1790246227093266,-0.0009714281193077662,-0.0009714281193077662,2.1229716143271506,4.166688922589236,1.1819389070672501,0.008111906482831876,0.0009714281193077662,0.0009714281193077662,0.0009714281193077662
8.613687997333061,2.008120359802107,-2.6836631152928234,-0.008443499358164248,-1.1362155318724239,-0.0010933431868272844,-0.0010933431868272844,1.8212951299081315,3.831602176083893,1.1394955614329054,0.008443499358164248,0.0010933431868272844,0.0010933431868272844,0.0010933431868272844
7.772465918150746,1.9596454392897218,-2.4290605241298793,-0.008741163169068165,-1.0921654424101404,-0.001211245649098217,-0.001211245649098217,1.5715329360684642,3.5336008666563825,1.095799179357435,0.008741163169068165,0.001211245649098217,0.001211245649098217,0.001211245649098217
7.045172762802675,1.9017202900343821,-2.206512717023895,-0.009009529480597448,-1.0478619164349197,-0.0013248672022854592,-0.0013248672022854592,1.3629887401073153,3.2673587645462683,1.051836518041776,0.009009529480597448,0.0013248672022854592,0.0013248672022854592,0.0013248672022854592
6.4118538421941365,1.8380629831992592,-2.0109451356356027,-0.009252435533010436,-1.0039786062786504,-0.0014340837465264733,-0.0014340837465264733,1.1875472779945315,3.0284784286868436,1.00828085751823,0.009252435533010436,0.0014340837465264733,0.0014340837465264733,0.0014340837465264733
5.856814308839386,1.7712647905979693,-1.8382444125835895,-0.009473086804712826,-0.9609701080912645,-0.0015388699381699653,-0.0015388699381699653,1.0389616868197677,2.813304217294077,0.9655867179057744,0.009473086804712826,0.0015388699381699653,0.0015388699381699653,0.0015388699381699653
