reduct_ket_to_alc,dehydration,reduct_cdouble_to_csingle,addition_co2_h2,addition_co2,ket_to_alc_2,dehydration_cis,hydration_to_alcohol,split,exchange_h2,exchange_h2o,exchange_h2co3,exchange_ace
250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,1000000.0,-750000.0,500000.0,-250000.0
250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,1000000.0,-750000.0,500000.0,-250000.0
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01,0.01,0.01,0.009999999999999998,0.01,0.04,-0.03,0.02,-0.01
